Incident_number,division,Zone,market_area,location_name,facility_type,description_of_location,Date_of_incident,time_of_incident,involved_employee_id,INVOLVED_EMPLOYEE_TITLE,INCIDENT_TYPE,WAS_A_MOTOR_VEHICLE_INVOLVED,DATE_REPORTED,HOW_DID_THE_INJURY_OCCUR,WHAT_WAS_THE_INJURY_OR_ILLNESS,DESCRIPTION_OF_INCIDENT,ROOT_CAUSE,INITIAL_ROOT_CAUSE,WHY_DID_THIS_OCCUR__WHY,WHY_DID_THIS_OCCUR__WHY1
CY25-00557,CANADA,CA ALBERTA ZONE,EDMONTON,EDMONTON INTL AIRPORT (08120-11),AIRPORT,Vehicle wash area,5/20/2025,3:56 PM,963227,Instant Return Rep,Property Damage,No,5/21/2024,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Employee slipped on wet surface in Vehicle wash area. Reported immediately and first aid administered on site.,Process not error-proof,Standard process relies on individual awareness rather than engineered controls.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00856,WESTERN DIVISION,SOUTHWEST ZONE,HOUSTON AP,GEORGE BUSH INTCNTL (01700-18),AIRPORT,Customer pickup zone,8/5/2025,6:21 AM,416604,Lot Attendant,Property Damage,No,8/5/2024,Struck head on low-hanging object,Burn of Hand,Employee struck head on low clearance fixture in Customer pickup zone.,Poor Ergonomics,No ergonomic assessment completed for this task.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-01931,EASTERN DIVISION,SOUTHEAST ZONE,CHARLOTTE AP,CHARLOTTE DOUGLAS INTL (01550-13),AIRPORT,Return area,4/19/2026,2:42 PM,808074,Transporter Car,Customer Incident,No,4/20/2025,Struck head on low-hanging object,Burn of Hand,Employee did not notice overhead obstruction while working in Return area.,Process not error-proof,Warning signage absent or not visible from task position.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00273,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Vehicle wash area,3/11/2025,7:07 PM,463108,VSA,Customer Incident,No,3/12/2024,Struck head on low-hanging object,Burn of Hand,Employee struck head on low clearance fixture in Vehicle wash area.,Process not error-proof,Warning signage absent or not visible from task position.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00058,WESTERN DIVISION,SOUTHWEST ZONE,MINNEAPOLIS AP,MINNEAPOLIS-ST PAUL (01750-11),HLE,Loading dock,1/16/2025,9:42 PM,819636,Shuttle Driver,Employee Incident,No,1/19/2024,Repetitive motion strain,Sprain/Strain or Tear of Lower Back Area,Sustained repetitive tasks in Loading dock led to cumulative strain injury.,Failure to Identify Hazards,No formal hazard identification process in place for this location.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-01484,WESTERN DIVISION,NORTH PACIFIC ZONE,SEATTLE AP,SEATTLE-TACOMA INTL (03100-12),AIRPORT,Maintenance bay,1/7/2026,6:28 PM,878111,VSA,Third Party or Contractor Incident,No,1/8/2025,Repetitive motion strain,Sprain/Strain or Tear of Lower Back Area,Employee reported onset of repetitive strain after extended shift in Maintenance bay.,Unpredictable event (motor vehicle accident another driver at fault),Rear-end collision by vehicle not affiliated with Hertz.,"Why was repetitive motion strain not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01368,CANADA,CA ALBERTA ZONE,TORONTO AP,TORONTO PEARSON INTL (08200-11),AIRPORT,Loading dock,12/8/2025,4:07 PM,923650,Transporter Car,Property Damage,No,12/10/2024,Chemical splash during cleaning,No Physical Injury,Cleaning product container failure in Loading dock caused unintended chemical contact.,Unpredictable event (personal issue),Employee reported feeling unwell earlier in shift.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-00339,WESTERN DIVISION,SOUTHWEST ZONE,MINNEAPOLIS AP,MINNEAPOLIS-ST PAUL (01750-11),HLE,Return area,3/28/2025,1:21 PM,639907,Customer Experience Associate,Property Damage,No,3/28/2024,Struck head on low-hanging object,Burn of Hand,Employee did not notice overhead obstruction while working in Return area.,Training Deficiency,Lack of defensive driving training for high-risk scenarios.,"Why was struck head on low-hanging object not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00033,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Parking garage,1/9/2025,8:49 PM,484936,Shuttle Driver,Third Party or Contractor Incident,No,1/12/2024,Struck head on low-hanging object,Burn of Hand,Employee struck head on low clearance fixture in Parking garage.,Customer/3rd Party/Vendor related incident,Third-party delivery vehicle operating unsafely in return area.,"Why was struck head on low-hanging object not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-01884,CANADA,CA ALBERTA ZONE,EDMONTON,EDMONTON INTL AIRPORT (08120-11),AIRPORT,Vehicle wash area,4/8/2026,1:14 PM,407484,Lot Attendant,Customer Incident,No,4/8/2025,Tripped over equipment,Other of Multiple Body Parts,Tripping hazard from unsecured equipment in Vehicle wash area caused fall.,Unpredictable event (personal issue),Medical event occurred without prior warning.,"Why was tripped over equipment not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-00381,EASTERN DIVISION,MID ATLANTIC ZONE,MIAMI AP,MIAMI INTL AP (01300-10),HLE,Counter area,4/7/2025,4:00 PM,657075,Customer Experience Associate,Employee Incident,No,4/8/2024,Chemical splash during cleaning,No Physical Injury,Improper PPE use during chemical cleaning in Counter area led to splash exposure.,Standard Work Procedures Insufficient or Non-existent,No documented SWP for this task found during investigation.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00974,WESTERN DIVISION,SOUTHWEST ZONE,DENVER AP,DENVER INTL AP (02200-11),HLE,Breakroom,9/4/2025,6:28 PM,462163,Customer Experience Associate,Vehicle Incident (Motor Vehicle Accident),Yes,9/6/2024,Door closed on hand/finger,Laceration of Finger,Employee's hand/finger caught in vehicle door during Breakroom operations.,Training Deficiency,Lack of defensive driving training for high-risk scenarios.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-01413,WESTERN DIVISION,NORTH PACIFIC ZONE,SEATTLE AP,SEATTLE-TACOMA INTL (03100-12),AIRPORT,Loading dock,12/19/2025,4:00 PM,253878,Shuttle Driver,Property Damage,No,12/20/2024,Lifting heavy object caused back strain,Sprain/Strain or Tear of Lower Back Area,"Employee lifted oversized item without assistance in Loading dock, causing strain injury.",Customer/3rd Party/Vendor related incident,Customer became aggressive during return dispute.,"Why was lifting heavy object caused back strain not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01504,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Service lot,1/11/2026,5:00 PM,292864,Shuttle Driver,Employee Incident,No,1/13/2025,Struck head on low-hanging object,Burn of Hand,Employee did not notice overhead obstruction while working in Service lot.,Training Deficiency,Insufficient onboarding for new equipment type.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00351,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Parking garage,3/30/2025,9:56 PM,995739,Mechanic B,Employee Incident,No,4/1/2024,Struck head on low-hanging object,Burn of Hand,Employee struck head on low clearance fixture in Parking garage.,Poor Ergonomics,Tools not appropriate size/weight for frequent repetitive use.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01249,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Loading dock,11/9/2025,10:28 AM,625927,Shuttle Driver,Employee Incident,No,11/9/2024,Hit by moving vehicle,Slip or Trip but did not fall,Employee in blind spot of reversing vehicle in Loading dock.,Customer/3rd Party/Vendor related incident,Contractor working on-site did not follow Hertz safety protocols.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
